Date,Open,High,Low,Close,Volume
2012-01-03,5.52,5.59,5.44,5.48,12675559
2012-01-04,5.44,5.49,5.41,5.46,8034829
2012-01-05,5.45,5.56,5.35,5.46,11476972
2012-01-06,5.44,5.52,5.39,5.43,12940520
2012-01-09,5.43,5.6,5.38,5.59,12588110
2012-01-10,5.67,5.75,5.64,5.71,10131538
2012-01-11,5.68,5.84,5.68,5.81,11205495
2012-01-12,5.84,5.85,5.71,5.82,11480090
2012-01-13,5.76,5.79,5.63,5.66,9673392
2012-01-17,5.77,5.84,5.71,5.73,8262012
2012-01-18,5.75,6.03,5.73,5.97,19944587
2012-01-19,6.04,6.24,5.98,6.22,21726723
2012-01-20,6.23,6.49,6.18,6.42,28706287
2012-01-23,6.46,6.6,6.39,6.52,21910198
2012-01-24,6.47,6.81,6.39,6.53,38768491
2012-01-25,6.28,6.78,6.23,6.73,36787719
2012-01-26,6.71,6.95,6.68,6.77,25160925
2012-01-27,6.71,6.85,6.65,6.82,16428206
2012-01-30,6.74,6.78,6.61,6.74,13366530
2012-01-31,6.79,6.84,6.69,6.71,17476787
2012-02-01,6.83,6.92,6.8,6.9,14672436
2012-02-02,6.92,7,6.84,6.93,15775437
2012-02-03,7.02,7.12,6.98,7.08,15315444
2012-02-06,7.02,7.05,6.9,6.92,13144737
2012-02-07,6.98,7.19,6.95,7.13,18873569
2012-02-08,7.13,7.39,7.11,7.25,15607030
2012-02-09,7.3,7.33,7.13,7.24,13358114
2012-02-10,7.08,7.12,6.96,7.05,16446049
2012-02-13,7.24,7.37,7.17,7.29,19481642
2012-02-14,7.24,7.43,7.24,7.32,18756134
2012-02-15,7.36,7.5,7.3,7.3,15251705
2012-02-16,7.3,7.6,7.27,7.59,13140066
2012-02-17,7.66,7.68,7.42,7.42,13955025
2012-02-21,7.43,7.45,7.2,7.28,15662944
2012-02-22,7.24,7.27,7,7.14,20775687
2012-02-23,7.12,7.3,7.05,7.29,16384900
2012-02-24,7.42,7.57,7.38,7.46,19280677
2012-02-27,7.4,7.59,7.27,7.47,14767264
2012-02-28,7.43,7.61,7.43,7.52,10513602
2012-02-29,7.52,7.55,7.34,7.35,13950253
2012-03-01,7.47,7.7,7.42,7.51,19155266
2012-03-02,7.5,7.63,7.43,7.46,11203319
2012-03-05,7.34,7.44,7.03,7.07,25124416
2012-03-06,6.92,6.95,6.76,6.9,15021119
2012-03-07,7,7.23,6.92,7.17,18341811
2012-03-08,7.24,7.5,7.21,7.47,21251636
2012-03-09,7.54,7.65,7.52,7.58,15093736
2012-03-12,7.55,7.6,7.43,7.5,15385475
2012-03-13,7.56,7.79,7.54,7.76,17894261
2012-03-14,7.75,7.99,7.73,7.76,22706983
2012-03-15,7.96,8.28,7.92,8.25,27157794
2012-03-16,8.31,8.33,8.11,8.2,14111766
2012-03-19,8.19,8.23,8.08,8.18,12016790
2012-03-20,8.03,8.09,7.92,8.06,16428773
2012-03-21,8.09,8.18,8.01,8.04,9090246
2012-03-22,7.97,8.04,7.9,8.03,9352220
2012-03-23,8.04,8.12,7.95,8.09,8149170
2012-03-26,8.16,8.25,8.12,8.24,8694416
2012-03-27,8.25,8.35,8.17,8.19,9801989
2012-03-28,8.17,8.27,7.98,8.08,15385134
2012-03-29,7.98,8.12,7.93,8.12,13920520
2012-03-30,8.18,8.2,7.95,8.02,14586009
2012-04-02,8.03,8.24,7.95,8.2,12478712
2012-04-03,8.09,8.17,7.91,7.98,18450512
2012-04-04,7.89,7.89,7.6,7.81,16055694
2012-04-05,7.68,7.89,7.61,7.86,11634717
2012-04-09,7.66,7.85,7.66,7.75,11816084
2012-04-10,7.73,7.89,7.52,7.53,16439809
2012-04-11,7.64,7.8,7.62,7.64,9540800
2012-04-12,7.84,7.95,7.71,7.92,10959907
2012-04-13,7.85,7.86,7.68,7.73,11975448
2012-04-16,7.8,7.84,7.55,7.7,14930987
2012-04-17,7.83,8.01,7.8,7.94,15773758
2012-04-18,7.81,8.05,7.79,7.97,14003667
2012-04-19,8.01,8.06,7.75,7.97,25064795
2012-04-20,8.16,8.21,7.73,7.76,38764172
2012-04-23,7.59,7.65,7.39,7.39,23446095
2012-04-24,7.44,7.48,7.26,7.31,20561234
2012-04-25,7.42,7.48,7.21,7.39,17396259
