Date,Open,High,Low,Close,Volume
2018-01-02,321.15,335.43,318.33,334.17,1422225
2018-01-03,333.46,340.45,332.71,339.85,1121160
2018-01-04,339.73,341.4,335.46,339.99,966565
2018-01-05,342,344.12,339.06,342.49,1478933
2018-01-08,341.45,341.94,327.26,329.65,1438599
2018-01-09,329.65,339.49,329.06,336.36,1318946
2018-01-10,334.59,339.94,331.835,336.72,971275
2018-01-11,338.01,338.54,329.34,333.07,1001967
2018-01-12,333.31,336.61,331.511,335.95,885658
2018-01-16,337.63,344.87,337.21,338.85,1227510
2018-01-17,339.72,347.78,337.28,344.87,1427675
2018-01-18,343.99,345,337.5,344.44,1293619
2018-01-19,347.57,347.57,341.82,342.41,1208128
2018-01-22,343.59,347.82,342.03,347.64,1191136
2018-01-23,348,354.28,345.735,346.75,1149953
2018-01-24,348.89,350.12,342.3,346.5,1508112
2018-01-25,358,358,341.21,353.74,1862789
2018-01-26,356.17,370.57,356.05,367.91,2229641
2018-01-29,365.15,367.9,357.47,358.48,1317923
2018-01-30,355.47,357.75,351.125,352.59,1117552
2018-01-31,357.34,359.61,345.72,347.81,1384273
2018-02-01,348.18,352.38,344.58,346,1362801
2018-02-02,343.98,348.685,342.31,343.83,1067328
2018-02-05,344.58,348.34,328.31,328.31,1507142
2018-02-06,322.52,332.95,321.11,332.86,1768248
2018-02-07,329.9,333.59,326.25,326.96,1214922
2018-02-08,326.67,328.696,311.54,311.79,1385674
2018-02-09,313.27,319.93,302.28,316.78,2176704
2018-02-12,319.25,323.18,315.5,316.63,1286232
2018-02-13,315.01,319,312.35,316.99,711454
2018-02-14,315.36,316.45,288,295.9,5413141
2018-02-15,298.85,300.75,289.27,299.38,3022309
2018-02-16,297.75,298.5,290.881,291.87,2929041
2018-02-20,292,294.88,286.51,287.45,1993652
2018-02-21,287.56,290.66,285.11,286.1,1918878
2018-02-22,287.7,291.91,283.97,284.81,2481596
2018-02-23,287.59,294.24,285.6,292.78,2541459
2018-02-26,294,296.1,288.8,290.01,1448249
2018-02-27,290.83,294.03,289.42,290.1,1697368
2018-02-28,291.26,292.895,287.39,288.99,1742358
2018-03-01,288.11,291.44,281.36,282.35,2339235
2018-03-02,278.22,288,277,286.96,1511910
2018-03-05,284.16,288.125,282.59,286.95,904335
2018-03-06,286.86,288.68,283.76,285.98,881660
2018-03-07,285.47,285.83,282,284.54,1404930
2018-03-08,285.47,286.82,283.225,284.69,1313658
2018-03-09,285.87,286.76,281.7,286.1,1715005
2018-03-12,286,286.68,279.29,279.9,2349025
2018-03-13,282.21,286.54,280.52,283.24,2258565
