Date,Open,High,Low,Close,Volume
2018-01-02,148.64,152.345,148.13,151.94,441820
2018-01-03,151.1,152.55,149.93,150.09,259644
2018-01-04,149.76,150.81,148.21,149.83,456142
2018-01-05,149.5,150.77,148.32,149.79,365608
2018-01-08,150.3,150.98,148.47,149.85,291491
2018-01-09,150.1,151.365,148.54,150.38,268481
2018-01-10,149.1,149.76,145.66,146.68,268754
2018-01-11,147,147.18,141.01,142.93,601555
2018-01-12,143.31,143.45,140.43,141.27,417842
2018-01-16,140.98,142.18,134.91,135.12,627901
2018-01-17,135.93,143,135.4,140.32,632416
2018-01-18,139.5,140.58,138,139.53,446979
2018-01-19,140.22,141.05,137.97,139.51,463591
2018-01-22,139.36,143.67,139.11,143.46,254760
2018-01-23,143.12,143.73,141.9,142.72,303579
2018-01-24,143.72,143.72,137.62,138.33,316749
2018-01-25,139.5,141.94,137.345,138.42,297563
2018-01-26,138.64,138.98,136.19,136.97,386769
2018-01-29,136.57,139.59,136.01,138.37,287011
2018-01-30,137.26,137.83,135.71,135.97,465708
2018-01-31,136.67,137.32,128.79,129,670515
2018-02-01,128.64,137.38,127.641,136.49,463689
2018-02-02,135.19,136.14,131.05,133.31,404853
2018-02-05,132.21,134.61,126.68,127.12,351309
2018-02-06,125.81,132.1,123.305,131.19,347452
2018-02-07,130.33,133.87,129.74,132.26,351947
2018-02-08,132.7,133.74,125.98,126.26,496492
2018-02-09,127.01,130.54,122.25,128.71,462745
2018-02-12,129.87,132.4,127.49,129.48,381836
2018-02-13,128.33,130.05,126.645,129.16,327749
2018-02-14,128.34,137.18,128.34,136.91,397169
2018-02-15,137.33,137.8,133.54,136.18,356886
2018-02-16,136.38,139.22,134.77,135,330541
2018-02-20,133.81,139.54,133.65,134.96,546315
2018-02-21,134.3,134.3,120.675,122.17,1675068
2018-02-22,122.08,124.99,115.121,117.55,1086837
2018-02-23,118.82,119.2,115.94,118.04,411852
2018-02-26,117.45,117.68,113.121,115.97,505831
2018-02-27,115.71,118.06,113.49,115.05,484701
2018-02-28,115.78,116.66,114.75,115.85,635223
2018-03-01,115.52,116.91,111.11,113.56,570615
2018-03-02,113.14,115.78,111.545,113.79,369454
2018-03-05,112.89,113.67,110.15,110.44,352715
2018-03-06,111,112.87,108.65,112.77,473015
2018-03-07,111.46,112.725,107.82,110.02,681258
2018-03-08,110.64,118.44,109.975,115.36,630744
2018-03-09,115.65,116.36,113.54,115.34,367080
2018-03-12,115.42,116.64,114.56,116.07,342698
2018-03-13,116.51,116.51,113,113.89,288924
2018-03-14,113.85,114.61,111.62,111.88,373708
2018-03-15,112.33,112.33,109.93,111,363028
2018-03-16,111.04,112.31,110.4,111.14,613296
2018-03-19,110.63,112.71,108.64,110.04,386916
2018-03-20,110.52,111.01,107.29,107.71,398381
2018-03-21,107.22,109.951,106.81,109.06,331749
2018-03-22,108.18,110.28,106.3,108.42,305648
2018-03-23,108.67,110,107.11,107.39,301155
2018-03-26,108.73,109.935,106.801,109.4,374691
2018-03-27,109.3,109.84,106.91,107.21,367922
2018-03-28,108.65,111.46,108.51,110.5,401443
2018-03-29,110.7,112.87,109.445,112.36,369262
2018-04-02,111.59,111.59,106.86,107.42,466052
2018-04-03,111.98,118.25,110.97,115.77,713407
2018-04-04,113.81,116.5,112.53,116.34,515275
2018-04-05,117.5,118.93,112.485,113.03,404395
2018-04-06,112.09,113.3,109.69,110.26,345297
2018-04-09,111.67,112.12,109.235,110.38,445280
2018-04-10,112.15,112.5,109.66,111.97,347142
2018-04-11,112.81,113.98,112.81,112.81,340958
2018-04-12,112.79,113.12,110.285,110.8,277429
2018-04-13,111.61,114.095,111.09,112.47,304593
2018-04-16,113.06,114.23,111.9,112.88,293654
2018-04-17,113.69,115.69,112.04,114.09,326656
2018-04-18,113.94,115.58,110.86,112.19,553645
2018-04-19,112.09,115.105,111.53,112.99,304282
2018-04-20,113.13,114.815,112.19,114.06,501383
2018-04-23,114.25,114.8,110.51,111.5,343428
2018-04-24,111.34,111.88,108.61,110.05,288601
2018-04-25,110.11,111.35,108.33,109.77,273733
2018-04-26,110.6,112.44,109.94,110.87,243246
2018-04-27,110.64,111.94,108.82,110.4,235715
2018-04-30,110.11,112.81,109.46,110.11,451045
2018-05-01,110.33,112.23,108.9,111.67,353110
2018-05-02,112.65,112.98,101.99,104.31,892953
2018-05-03,102.97,105.54,100.76,102.36,454198
2018-05-04,102.02,103.8,101.18,102.98,385802
2018-05-07,102.99,104.36,101.81,102.4,299813
2018-05-08,103.74,103.76,101.46,101.93,551762
2018-05-09,102.24,103.94,101.05,103.51,370144
2018-05-10,102.87,103.28,100.64,101.14,339564
2018-05-11,101.63,103.5,100.57,102.9,357843
